design_id,spec_id,design_type,rtl_chars,module_count,spec_text,status,proven,falsified,undetermined,total_props,jg_iterations,context_rounds,wall_time_s,vacuity_status,error_message,eval_syntax,eval_functionality,eval_func_relaxed,eval_proven,eval_falsified,eval_undetermined,num_assertions,has_sva,verify_iterations,total_tool_calls,tool_call_list,phase_a_tools,phase_b_tools
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-1,,0,1,"Check that when reset_ is low, the state register transitions to S0 in the next clock cycle",partially_proven,1,0,2,3,1,4,62.16629505157471,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,5,,0,0
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-2,,0,1,Verify that the state register always remains within the valid range of 0 to 15 (4 bits),partially_proven,1,0,1,2,1,1,24.924278259277344,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,2,,0,0
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-3,,0,1,"Check that the FSM never reaches a deadlock state where next_state is undefined (states S3, S6, S13, and S15 have no outgoing transitions)",partially_proven,1,0,1,2,1,5,83.36608386039734,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,6,,0,0
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-1,,0,1,"Check that when reset_ is low, the state register resets to S0 (4'b0000) in the next clock cycle",partially_proven,1,0,2,3,1,5,66.52643728256226,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,6,,0,0
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-2,,0,1,Verify that the state machine never transitions to an invalid state outside the range S0-S15 (4'b0000 to 4'b1111),partially_proven,1,0,1,2,1,1,31.818663358688354,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,2,,0,0
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-3,,0,1,Verify that the fsm_out signal remains stable throughout the clock cycle and only updates on the positive edge of clk,unknown,0,0,0,0,0,0,960.096195936203,not_checked,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=480)",0.0,0.0,0.0,0,0,0,0,True,0,0,,0,0
ni_16_nn_16_ne_64_wd_32_opd_3_0,ni_16_nn_16_ne_64_wd_32_opd_3_0-spec-1,,0,1,"Check that when reset_ is asserted low, the state register always resets to S0 (4'b0000) regardless of current state",falsified,0,1,1,2,3,6,99.03716111183167,not_checked,,1.0,0.0,0.0,0,1,0,1,True,3,9,,0,0
ni_16_nn_16_ne_64_wd_32_opd_3_0,ni_16_nn_16_ne_64_wd_32_opd_3_0-spec-2,,0,1,"Verify that the state register only transitions on the positive edge of clk when reset_ is high, and never changes between clock edges",falsified,0,1,1,2,3,1,56.00967240333557,not_checked,,1.0,0.0,0.0,0,1,0,1,True,3,4,,0,0
ni_16_nn_16_ne_64_wd_32_opd_3_0,ni_16_nn_16_ne_64_wd_32_opd_3_0-spec-3,,0,1,"Verify that fsm_out always reflects the current state value, and that the next_state computation in the always_comb block is purely combinational with no latches",partially_proven,2,0,1,3,2,6,110.05507588386536,not_checked,,1.0,1.0,1.0,2,0,0,2,True,2,8,,0,0
ni_16_nn_16_ne_64_wd_32_opd_5_0,ni_16_nn_16_ne_64_wd_32_opd_5_0-spec-1,,0,1,"Check that when reset_ is asserted low, the state register resets to S0 in the next clock cycle",partially_proven,1,0,2,3,1,1,26.518882989883423,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,2,,0,0
