design_id,spec_id,design_type,rtl_chars,module_count,spec_text,eval_syntax,eval_functionality,eval_func_relaxed,eval_proven,eval_falsified,eval_undetermined,num_assertions,has_sva,verify_iterations,total_tool_calls,tool_call_list,phase_a_tools,phase_b_tools,status,proven,falsified,undetermined,total_props,jg_iterations,context_rounds,wall_time_s,vacuity_status,error_message
ni_16_nn_16_ne_16_wd_32_opd_2_0,ni_16_nn_16_ne_16_wd_32_opd_2_0-spec-1,,0,0,"Check that when reset_ is low, the state register resets to S0 (4'b0000) at the next positive clock edge",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_2_0,ni_16_nn_16_ne_16_wd_32_opd_2_0-spec-2,,0,0,Verify that the FSM never enters an undefined state; the state register always takes one of the valid states S0 through S15,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_2_0,ni_16_nn_16_ne_16_wd_32_opd_2_0-spec-3,,0,0,"Check that the state transition from S13 to S0 occurs when ((in_A ^ in_F) != (in_D != in_H)) evaluates to true, and transitions to S8 otherwise",1.0,1.0,1.0,2,0,0,2,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-1,,0,0,"Check that when reset_ is low, the state register transitions to S0 in the next clock cycle",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-2,,0,0,Verify that the state register always remains within the valid range of 0 to 15 (4 bits),1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-3,,0,0,"Check that the FSM never reaches a deadlock state where next_state is undefined (states S3, S6, S13, and S15 have no outgoing transitions)",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_4_0,ni_16_nn_16_ne_16_wd_32_opd_4_0-spec-1,,0,0,"Check that when reset_ is low, the state register is reset to S0 (4'b0000) in the next clock cycle",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_4_0,ni_16_nn_16_ne_16_wd_32_opd_4_0-spec-2,,0,0,Verify that the state machine never reaches an undefined state and state transitions only occur between valid states S0 through S15,1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_4_0,ni_16_nn_16_ne_16_wd_32_opd_4_0-spec-3,,0,0,Verify that the output fsm_out correctly reflects the current state value after each clock cycle,1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_5_0,ni_16_nn_16_ne_16_wd_32_opd_5_0-spec-1,,0,0,"Check that when reset_ is low, the state register is set to S0 in the same clock cycle",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_5_0,ni_16_nn_16_ne_16_wd_32_opd_5_0-spec-2,,0,0,"Verify that in state S0, the next_state transitions to S2 when ~&(in_D) != in_A, otherwise transitions to S13",0.0,0.0,0.0,0,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_16_wd_32_opd_5_0,ni_16_nn_16_ne_16_wd_32_opd_5_0-spec-3,,0,0,"Verify that in state S3, the next_state transitions to S0 when (in_I != 'd0) == 'd1, to S1 when in_J != 'd0, to S10 when |(in_I) is true, otherwise to S11",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_2_0,ni_16_nn_16_ne_32_wd_32_opd_2_0-spec-1,,0,0,"Check that when reset_ is low, the state register is reset to S0 (4'b0000) within one clock cycle",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_2_0,ni_16_nn_16_ne_32_wd_32_opd_2_0-spec-2,,0,0,Verify that the FSM never enters S9 or S14 as their next_state assignments are empty (no transitions defined),1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_2_0,ni_16_nn_16_ne_32_wd_32_opd_2_0-spec-3,,0,0,"Verify that state transitions only occur on positive clock edges when reset_ is high, and the output fsm_out always reflects the current state value",1.0,0.0,0.0,0,2,0,2,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_3_0,ni_16_nn_16_ne_32_wd_32_opd_3_0-spec-1,,0,0,"Check that when reset_ is asserted (low), the state register transitions to S0 in the next clock cycle",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_3_0,ni_16_nn_16_ne_32_wd_32_opd_3_0-spec-2,,0,0,Verify that the FSM state transitions only occur on the positive edge of clk when reset_ is de-asserted (high),1.0,0.0,0.0,0,1,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_3_0,ni_16_nn_16_ne_32_wd_32_opd_3_0-spec-3,,0,0,"Verify that from state S10, the next_state is never assigned, causing the FSM to remain in S10 indefinitely (a potential deadlock state)",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
ni_16_nn_16_ne_32_wd_32_opd_4_0,ni_16_nn_16_ne_32_wd_32_opd_4_0-spec-1,,0,0,"Check that when reset_ is low, the FSM state transitions to S0 in the next clock cycle",1.0,1.0,1.0,1,0,0,1,True,0,0,,0,0,,0,0,0,0,0,0,0,,
