design_id,spec_id,design_type,rtl_chars,module_count,spec_text,status,proven,falsified,undetermined,total_props,jg_iterations,context_rounds,wall_time_s,vacuity_status,error_message,eval_syntax,eval_functionality,eval_func_relaxed,eval_proven,eval_falsified,eval_undetermined,num_assertions,has_sva,verify_iterations,total_tool_calls,tool_call_list,phase_a_tools,phase_b_tools
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-1,fsm,1745,1,"Check that when reset_ is low, the state register transitions to S0 in the same clock cycle",no_verification,0,0,0,0,0,3,40.44963550567627,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,3,,0,0
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-2,fsm,1745,1,"Verify that the FSM state transitions follow the specified sequence: S0 -> S1 always, S1 -> S2 when (~^(in_B) ^ in_N) is true, S1 -> S3 when ^ (in_E) is true, S1 -> S0 otherwise, S2 -> S0 always, and S3 -> S1 always",no_verification,0,0,0,0,0,6,116.9147355556488,not_checked,ablation: verification disabled,1.0,0.5,0.5,3,3,0,6,True,0,6,,0,0
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-3,fsm,1745,1,"Verify that fsm_out is never assigned a value, and since fsm_out is declared as a reg but never driven in any procedural block, it will retain its uninitialized value, which should be fixed by properly assigning fsm_out <= state in the always_ff block",no_verification,0,0,0,0,0,5,47.463759899139404,not_checked,ablation: verification disabled,1.0,0.0,0.0,0,1,0,1,True,0,5,,0,0
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-1,fsm,1164,1,"Check that when reset_ is low, the state register resets to S0 (2'b00) at the next positive clock edge",no_verification,0,0,0,0,0,4,83.63461303710938,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,4,,0,0
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-2,fsm,1164,1,"Verify that the FSM always transitions from S0 to S2 unconditionally, and from S1 to S3 unconditionally",no_verification,0,0,0,0,0,2,33.52927017211914,not_checked,ablation: verification disabled,1.0,1.0,1.0,2,0,0,2,True,0,2,,0,0
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-3,fsm,1164,1,"Verify that when in state S3, the next_state remains undefined/latched (no state transition specified)",no_verification,0,0,0,0,0,4,45.62873888015747,not_checked,ablation: verification disabled,1.0,0.0,0.0,0,1,0,1,True,0,4,,0,0
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-1,fsm,1176,1,"Check that when reset_ is low, state register transitions to S0 in the next clock cycle",no_verification,0,0,0,0,0,3,35.369789123535156,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,3,,0,0
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-2,fsm,1176,1,"Verify that when state is S0, next_state is always S3",no_verification,0,0,0,0,0,2,23.18599820137024,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,2,,0,0
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-3,fsm,1176,1,"Verify that when state is S2, next_state is always S1",no_verification,0,0,0,0,0,2,22.579585552215576,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,2,,0,0
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-1,fsm,2380,1,"Check that when reset_ is low, state resets to S0 (3'b000) within one clock cycle",no_verification,0,0,0,0,0,3,35.288729429244995,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,3,,0,0
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-2,fsm,2380,1,Verify that the FSM always transitions from S5 to S0 and from S6 to S0 regardless of input values,no_verification,0,0,0,0,0,6,36.01668095588684,not_checked,ablation: verification disabled,1.0,1.0,1.0,2,0,0,2,True,0,6,,0,0
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-3,fsm,2380,1,Verify that state transitions only occur on the positive edge of clk when reset_ is high,no_verification,0,0,0,0,0,6,64.71215486526489,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,6,,0,0
ns_10-w_128-opd_3-2,ns_10-w_128-opd_3-2-spec-1,pipeline,8636,11,"Check that when reset_ is deasserted (held low), out_vld is driven to 0 and out_data is driven to 0 within one clock cycle for all single-stage exec units using asynchronous reset, and within one clock cycle after the next rising edge for exec_unit_4 which uses a synchronous reset style",no_verification,0,0,0,0,0,6,127.36885166168213,not_checked,ablation: verification disabled,1.0,1.0,1.0,2,0,0,2,True,0,6,,0,0
ns_10-w_128-opd_3-2,ns_10-w_128-opd_3-2-spec-2,pipeline,8636,11,"Verify that out_vld at any given clock cycle equals the value of in_vld from exactly 13 clock cycles earlier, reflecting the total pipeline latency of 9 single-cycle stages (exec_unit_0 through exec_unit_3 and exec_unit_5 through exec_unit_9) plus the 4-stage internal pipeline of exec_unit_4, while reset_ is continuously held high",no_verification,0,0,0,0,0,6,66.20916938781738,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,6,,0,0
ns_10-w_128-opd_3-2,ns_10-w_128-opd_3-2-spec-3,pipeline,8636,11,"Check that immediately after reset_ transitions from low to high, out_vld remains continuously deasserted (0) for at least 13 consecutive rising clock edges, since no valid data can have propagated through all pipeline stages before that interval elapses",no_verification,0,0,0,0,0,5,46.81132125854492,not_checked,ablation: verification disabled,1.0,1.0,1.0,1,0,0,1,True,0,5,,0,0
