design_id,spec_id,design_type,rtl_chars,module_count,spec_text,status,proven,falsified,undetermined,total_props,jg_iterations,context_rounds,wall_time_s,vacuity_status,error_message,eval_syntax,eval_functionality,eval_func_relaxed,eval_proven,eval_falsified,eval_undetermined,num_assertions,has_sva,verify_iterations,total_tool_calls,tool_call_list,phase_a_tools,phase_b_tools
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-1,fsm,1745,1,"Check that when reset_ is low, the state register transitions to S0 in the same clock cycle",partially_proven,1,0,2,3,1,1,28.058769464492798,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,2,,0,0
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-2,fsm,1745,1,"Verify that the FSM state transitions follow the specified sequence: S0 -> S1 always, S1 -> S2 when (~^(in_B) ^ in_N) is true, S1 -> S3 when ^ (in_E) is true, S1 -> S0 otherwise, S2 -> S0 always, and S3 -> S1 always",syntax_error,0,0,0,0,3,6,187.98977208137512,not_checked,ERROR (VERI-1137)] dut.sv(86): syntax error near '=='; ERROR (VERI-1137)] dut.sv(86): syntax error near ')'; ERROR (VERI-1137)] dut.sv(92): syntax error near '=='; ERROR (VERI-1137)] dut.sv(92): syntax error near ')'; ERROR (VERI-1137)] dut.sv(98): syntax error near '=='; ERROR (VERI-1137)] dut.sv(98): syntax error near ')'; ERROR (VERI-1137)] dut.sv(104): syntax error near '=='; ERROR (VERI-1137)] dut.sv(104): syntax error near ')'; ERROR (VERI-1137)] dut.sv(110): syntax error near '=='; ERROR (VERI-1137)] dut.sv(110): syntax error near ')',0.0,0.0,0.0,0,0,0,6,True,3,9,,0,0
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-3,fsm,1745,1,"Verify that fsm_out is never assigned a value, and since fsm_out is declared as a reg but never driven in any procedural block, it will retain its uninitialized value, which should be fixed by properly assigning fsm_out <= state in the always_ff block",timeout,0,0,0,0,2,0,480.00031566619873,not_checked,Agent timed out after 480s,0.0,0.0,0.0,0,0,0,0,True,2,2,,0,0
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-1,fsm,1164,1,"Check that when reset_ is low, the state register resets to S0 (2'b00) at the next positive clock edge",partially_proven,1,0,2,3,2,1,46.10533666610718,not_checked,,1.0,1.0,1.0,1,0,0,1,True,2,3,,0,0
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-2,fsm,1164,1,"Verify that the FSM always transitions from S0 to S2 unconditionally, and from S1 to S3 unconditionally",timeout,0,0,0,0,1,0,480.00030732154846,not_checked,Agent timed out after 480s,0.0,0.0,0.0,0,0,0,0,True,1,1,,0,0
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-3,fsm,1164,1,"Verify that when in state S3, the next_state remains undefined/latched (no state transition specified)",falsified,0,1,2,3,3,1,60.12883973121643,not_checked,,1.0,0.0,0.0,0,1,0,1,True,3,4,,0,0
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-1,fsm,1176,1,"Check that when reset_ is low, state register transitions to S0 in the next clock cycle",timeout,0,0,0,0,0,0,480.0004105567932,not_checked,Agent timed out after 480s,0.0,0.0,0.0,0,0,0,0,True,0,0,,0,0
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-2,fsm,1176,1,"Verify that when state is S0, next_state is always S3",falsified,0,1,2,3,3,4,76.04377698898315,not_checked,,1.0,0.0,0.0,0,1,0,1,True,3,7,,0,0
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-3,fsm,1176,1,"Verify that when state is S2, next_state is always S1",partially_proven,1,0,2,3,1,3,37.075361251831055,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,4,,0,0
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-1,fsm,2380,1,"Check that when reset_ is low, state resets to S0 (3'b000) within one clock cycle",timeout,0,0,0,0,0,0,480.00030875205994,not_checked,Agent timed out after 480s,0.0,0.0,0.0,0,0,0,0,True,0,0,,0,0
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-2,fsm,2380,1,Verify that the FSM always transitions from S5 to S0 and from S6 to S0 regardless of input values,falsified,0,2,3,5,3,1,84.93489670753479,not_checked,,1.0,0.0,0.0,0,2,0,2,True,3,4,,0,0
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-3,fsm,2380,1,Verify that state transitions only occur on the positive edge of clk when reset_ is high,timeout,0,0,0,0,0,0,480.00029134750366,not_checked,Agent timed out after 480s,0.0,0.0,0.0,0,0,0,0,True,0,0,,0,0
ns_10-w_128-opd_3-2,ns_10-w_128-opd_3-2-spec-1,pipeline,8636,11,"Check that when reset_ is deasserted (held low), out_vld is driven to 0 and out_data is driven to 0 within one clock cycle for all single-stage exec units using asynchronous reset, and within one clock cycle after the next rising edge for exec_unit_4 which uses a synchronous reset style",timeout,0,0,0,0,1,0,480.00029492378235,not_checked,Agent timed out after 480s,0.0,0.0,0.0,0,0,0,0,True,1,1,,0,0
ns_10-w_128-opd_3-2,ns_10-w_128-opd_3-2-spec-2,pipeline,8636,11,"Verify that out_vld at any given clock cycle equals the value of in_vld from exactly 13 clock cycles earlier, reflecting the total pipeline latency of 9 single-cycle stages (exec_unit_0 through exec_unit_3 and exec_unit_5 through exec_unit_9) plus the 4-stage internal pipeline of exec_unit_4, while reset_ is continuously held high",timeout,0,0,0,0,0,0,480.0003547668457,not_checked,Agent timed out after 480s,0.0,0.0,0.0,0,0,0,0,True,0,0,,0,0
ns_10-w_128-opd_3-2,ns_10-w_128-opd_3-2-spec-3,pipeline,8636,11,"Check that immediately after reset_ transitions from low to high, out_vld remains continuously deasserted (0) for at least 13 consecutive rising clock edges, since no valid data can have propagated through all pipeline stages before that interval elapses",partially_proven,1,0,2,3,1,5,62.705588579177856,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,6,,0,0
ns_2-w_128-opd_2-0,ns_2-w_128-opd_2-0-spec-1,pipeline,2409,3,"Check that when reset_ is low, on the next rising clock edge exec_unit_0's ready[1], ready[2], and ready[3] are all cleared to zero",unknown,0,0,0,0,0,0,960.0115852355957,not_checked,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=480)",0.0,0.0,0.0,0,0,0,0,True,0,0,,0,0
ns_2-w_128-opd_2-0,ns_2-w_128-opd_2-0-spec-2,pipeline,2409,3,"Check that when reset_ is low, on the next rising clock edge exec_unit_0's data[1], data[2], and data[3] are all cleared to zero",partially_proven,1,0,2,3,1,6,67.60224270820618,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,7,,0,0
ns_2-w_128-opd_2-0,ns_2-w_128-opd_2-0-spec-3,pipeline,2409,3,"Verify that exec_unit_0 uses a synchronous reset, meaning its registers ready[1..3] and data[1..3] are only updated on a rising edge of clk and do not respond to reset_ transitions between clock edges",partially_proven,6,0,7,13,1,4,98.66536521911621,not_checked,,1.0,1.0,1.0,6,0,0,6,True,1,5,,0,0
