design_id,spec_id,design_type,rtl_chars,module_count,spec_text,status,proven,falsified,undetermined,total_props,jg_iterations,context_rounds,wall_time_s,vacuity_status,error_message,num_assertions,has_sva,verify_iterations,total_tool_calls,tool_call_list,phase_a_tools,phase_b_tools,eval_syntax,eval_functionality,eval_func_relaxed,eval_proven,eval_falsified,eval_undetermined
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-1,fsm,1745,1,"Check that when reset_ is low, the state register transitions to S0 in the same clock cycle",timeout,0,0,0,0,0,0,480.0003716945648,not_checked,Agent timed out after 480s,0,True,0,0,,0,0,0.0,0.0,0.0,0,0,0
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-2,fsm,1745,1,"Verify that the FSM state transitions follow the specified sequence: S0 -> S1 always, S1 -> S2 when (~^(in_B) ^ in_N) is true, S1 -> S3 when ^ (in_E) is true, S1 -> S0 otherwise, S2 -> S0 always, and S3 -> S1 always",no_verification,0,0,0,0,0,5,44.66552925109863,not_checked,ablation: verification disabled,6,True,0,5,,0,0,0.0,0.0,0.0,0,0,0
ni_16_nn_4_ne_8_wd_32_opd_5_0,ni_16_nn_4_ne_8_wd_32_opd_5_0-spec-3,fsm,1745,1,"Verify that fsm_out is never assigned a value, and since fsm_out is declared as a reg but never driven in any procedural block, it will retain its uninitialized value, which should be fixed by properly assigning fsm_out <= state in the always_ff block",no_verification,0,0,0,0,0,2,24.206373929977417,not_checked,ablation: verification disabled,1,True,0,2,,0,0,1.0,0.0,0.0,0,1,0
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-1,fsm,1164,1,"Check that when reset_ is low, the state register resets to S0 (2'b00) at the next positive clock edge",no_verification,0,0,0,0,0,3,30.971638917922974,not_checked,ablation: verification disabled,1,True,0,3,,0,0,1.0,1.0,1.0,1,0,0
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-2,fsm,1164,1,"Verify that the FSM always transitions from S0 to S2 unconditionally, and from S1 to S3 unconditionally",no_verification,0,0,0,0,0,5,44.27724361419678,not_checked,ablation: verification disabled,2,True,0,5,,0,0,1.0,1.0,1.0,2,0,0
ni_4_nn_4_ne_4_wd_32_opd_2_0,ni_4_nn_4_ne_4_wd_32_opd_2_0-spec-3,fsm,1164,1,"Verify that when in state S3, the next_state remains undefined/latched (no state transition specified)",no_verification,0,0,0,0,0,1,17.934528589248657,not_checked,ablation: verification disabled,1,True,0,1,,0,0,1.0,0.0,0.0,0,1,0
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-1,fsm,1176,1,"Check that when reset_ is low, state register transitions to S0 in the next clock cycle",no_verification,0,0,0,0,0,2,38.76435136795044,not_checked,ablation: verification disabled,1,True,0,2,,0,0,1.0,1.0,1.0,1,0,0
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-2,fsm,1176,1,"Verify that when state is S0, next_state is always S3",no_verification,0,0,0,0,0,1,14.93848466873169,not_checked,ablation: verification disabled,1,True,0,1,,0,0,1.0,1.0,1.0,1,0,0
ni_4_nn_4_ne_4_wd_32_opd_3_0,ni_4_nn_4_ne_4_wd_32_opd_3_0-spec-3,fsm,1176,1,"Verify that when state is S2, next_state is always S1",no_verification,0,0,0,0,0,1,17.410321950912476,not_checked,ablation: verification disabled,1,True,0,1,,0,0,1.0,1.0,1.0,1,0,0
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-1,fsm,2380,1,"Check that when reset_ is low, state resets to S0 (3'b000) within one clock cycle",unknown,0,0,0,0,0,0,999.7542188167572,not_checked,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=480)",0,True,0,0,,0,0,0.0,0.0,0.0,0,0,0
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-2,fsm,2380,1,Verify that the FSM always transitions from S5 to S0 and from S6 to S0 regardless of input values,no_verification,0,0,0,0,0,6,35.94785213470459,not_checked,ablation: verification disabled,2,True,0,6,,0,0,1.0,1.0,1.0,2,0,0
ni_4_nn_8_ne_16_wd_32_opd_5_0,ni_4_nn_8_ne_16_wd_32_opd_5_0-spec-3,fsm,2380,1,Verify that state transitions only occur on the positive edge of clk when reset_ is high,no_verification,0,0,0,0,0,1,500.2736966609955,not_checked,ablation: verification disabled,1,True,0,1,,0,0,1.0,0.0,0.0,0,1,0
