design_id,spec_id,design_type,rtl_chars,module_count,spec_text,status,proven,falsified,undetermined,total_props,jg_iterations,context_rounds,wall_time_s,vacuity_status,error_message,eval_syntax,eval_functionality,eval_func_relaxed,eval_proven,eval_falsified,eval_undetermined,num_assertions,has_sva,verify_iterations,total_tool_calls,tool_call_list,phase_a_tools,phase_b_tools
ni_16_nn_16_ne_16_wd_32_opd_2_0,ni_16_nn_16_ne_16_wd_32_opd_2_0-spec-1,,0,1,"Check that when reset_ is low, the state register resets to S0 (4'b0000) at the next positive clock edge",partially_proven,1,0,2,3,1,2,30.102994680404663,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,3,,0,0
ni_16_nn_16_ne_16_wd_32_opd_2_0,ni_16_nn_16_ne_16_wd_32_opd_2_0-spec-2,,0,1,Verify that the FSM never enters an undefined state; the state register always takes one of the valid states S0 through S15,partially_proven,1,0,1,2,1,4,55.37537670135498,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,5,,0,0
ni_16_nn_16_ne_16_wd_32_opd_2_0,ni_16_nn_16_ne_16_wd_32_opd_2_0-spec-3,,0,1,"Check that the state transition from S13 to S0 occurs when ((in_A ^ in_F) != (in_D != in_H)) evaluates to true, and transitions to S8 otherwise",partially_proven,1,0,2,3,1,6,48.42268919944763,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,7,,0,0
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-1,,0,1,"Check that when reset_ is low, the state register transitions to S0 in the next clock cycle",partially_proven,1,0,2,3,1,2,88.52716207504272,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,3,,0,0
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-2,,0,1,Verify that the state register always remains within the valid range of 0 to 15 (4 bits),partially_proven,1,0,1,2,1,4,48.478352546691895,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,5,,0,0
ni_16_nn_16_ne_16_wd_32_opd_3_0,ni_16_nn_16_ne_16_wd_32_opd_3_0-spec-3,,0,1,"Check that the FSM never reaches a deadlock state where next_state is undefined (states S3, S6, S13, and S15 have no outgoing transitions)",partially_proven,1,0,1,2,1,4,52.48977303504944,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,5,,0,0
ni_16_nn_16_ne_16_wd_32_opd_4_0,ni_16_nn_16_ne_16_wd_32_opd_4_0-spec-1,,0,1,"Check that when reset_ is low, the state register is reset to S0 (4'b0000) in the next clock cycle",partially_proven,1,0,2,3,1,3,41.734156131744385,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,4,,0,0
ni_16_nn_16_ne_16_wd_32_opd_4_0,ni_16_nn_16_ne_16_wd_32_opd_4_0-spec-2,,0,1,Verify that the state machine never reaches an undefined state and state transitions only occur between valid states S0 through S15,partially_proven,1,0,1,2,1,5,62.468939781188965,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,6,,0,0
ni_16_nn_16_ne_16_wd_32_opd_4_0,ni_16_nn_16_ne_16_wd_32_opd_4_0-spec-3,,0,1,Verify that the output fsm_out correctly reflects the current state value after each clock cycle,falsified,0,1,1,2,3,6,63.921873331069946,not_checked,,1.0,0.0,0.0,0,1,0,1,True,3,9,,0,0
ni_16_nn_16_ne_16_wd_32_opd_5_0,ni_16_nn_16_ne_16_wd_32_opd_5_0-spec-1,,0,1,"Check that when reset_ is low, the state register is set to S0 in the same clock cycle",partially_proven,1,0,2,3,1,3,44.202462911605835,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,4,,0,0
ni_16_nn_16_ne_16_wd_32_opd_5_0,ni_16_nn_16_ne_16_wd_32_opd_5_0-spec-2,,0,1,"Verify that in state S0, the next_state transitions to S2 when ~&(in_D) != in_A, otherwise transitions to S13",partially_proven,1,0,2,3,1,2,34.500988245010376,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,3,,0,0
ni_16_nn_16_ne_16_wd_32_opd_5_0,ni_16_nn_16_ne_16_wd_32_opd_5_0-spec-3,,0,1,"Verify that in state S3, the next_state transitions to S0 when (in_I != 'd0) == 'd1, to S1 when in_J != 'd0, to S10 when |(in_I) is true, otherwise to S11",partially_proven,1,0,2,3,1,4,63.858914375305176,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,5,,0,0
ni_16_nn_16_ne_32_wd_32_opd_2_0,ni_16_nn_16_ne_32_wd_32_opd_2_0-spec-1,,0,1,"Check that when reset_ is low, the state register is reset to S0 (4'b0000) within one clock cycle",partially_proven,1,0,2,3,1,3,38.93310523033142,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,4,,0,0
ni_16_nn_16_ne_32_wd_32_opd_2_0,ni_16_nn_16_ne_32_wd_32_opd_2_0-spec-2,,0,1,Verify that the FSM never enters S9 or S14 as their next_state assignments are empty (no transitions defined),timeout,0,0,0,0,2,0,480.00037145614624,not_checked,Agent timed out after 480s,0.0,0.0,0.0,0,0,0,0,True,2,2,,0,0
ni_16_nn_16_ne_32_wd_32_opd_2_0,ni_16_nn_16_ne_32_wd_32_opd_2_0-spec-3,,0,1,"Verify that state transitions only occur on positive clock edges when reset_ is high, and the output fsm_out always reflects the current state value",timeout,0,0,0,0,0,0,480.0003716945648,not_checked,Agent timed out after 480s,0.0,0.0,0.0,0,0,0,0,True,0,0,,0,0
ni_16_nn_16_ne_32_wd_32_opd_3_0,ni_16_nn_16_ne_32_wd_32_opd_3_0-spec-1,,0,1,"Check that when reset_ is asserted (low), the state register transitions to S0 in the next clock cycle",partially_proven,1,0,2,3,1,3,41.223517656326294,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,4,,0,0
ni_16_nn_16_ne_32_wd_32_opd_3_0,ni_16_nn_16_ne_32_wd_32_opd_3_0-spec-2,,0,1,Verify that the FSM state transitions only occur on the positive edge of clk when reset_ is de-asserted (high),partially_proven,1,0,2,3,1,3,50.208147048950195,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,4,,0,0
ni_16_nn_16_ne_32_wd_32_opd_3_0,ni_16_nn_16_ne_32_wd_32_opd_3_0-spec-3,,0,1,"Verify that from state S10, the next_state is never assigned, causing the FSM to remain in S10 indefinitely (a potential deadlock state)",partially_proven,1,0,2,3,1,6,42.513898849487305,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,7,,0,0
ni_16_nn_16_ne_32_wd_32_opd_4_0,ni_16_nn_16_ne_32_wd_32_opd_4_0-spec-1,,0,1,"Check that when reset_ is low, the FSM state transitions to S0 in the next clock cycle",partially_proven,1,0,2,3,1,2,51.5355064868927,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,3,,0,0
ni_16_nn_16_ne_32_wd_32_opd_4_0,ni_16_nn_16_ne_32_wd_32_opd_4_0-spec-2,,0,1,Verify that the FSM state always remains within the valid state range S0-S15 (4-bit value),partially_proven,1,0,1,2,1,3,43.01837778091431,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,4,,0,0
ni_16_nn_16_ne_32_wd_32_opd_4_0,ni_16_nn_16_ne_32_wd_32_opd_4_0-spec-3,,0,1,"Verify that state S8 is terminal - when the FSM enters S8, it remains in S8 indefinitely (next_state is not assigned)",partially_proven,1,0,2,3,1,6,40.92145085334778,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,7,,0,0
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-1,,0,1,"Check that when reset_ is low, the state register resets to S0 (4'b0000) in the next clock cycle",partially_proven,1,0,2,3,1,2,32.53805232048035,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,3,,0,0
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-2,,0,1,Verify that the state machine never transitions to an invalid state outside the range S0-S15 (4'b0000 to 4'b1111),partially_proven,1,0,1,2,1,6,45.50293445587158,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,7,,0,0
ni_16_nn_16_ne_32_wd_32_opd_5_0,ni_16_nn_16_ne_32_wd_32_opd_5_0-spec-3,,0,1,Verify that the fsm_out signal remains stable throughout the clock cycle and only updates on the positive edge of clk,partially_proven,1,0,2,3,1,5,65.93700218200684,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,6,,0,0
ni_16_nn_16_ne_48_wd_32_opd_2_0,ni_16_nn_16_ne_48_wd_32_opd_2_0-spec-1,,0,1,"Check that when reset_ is asserted (low), the state register resets to S0 (4'b0000) within one clock cycle",partially_proven,1,0,2,3,1,3,82.30299234390259,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,4,,0,0
ni_16_nn_16_ne_48_wd_32_opd_2_0,ni_16_nn_16_ne_48_wd_32_opd_2_0-spec-2,,0,1,Verify that the state machine never reaches an undefined state; state must always be one of the valid states S0 through S15,partially_proven,1,0,1,2,1,4,50.943315267562866,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,5,,0,0
ni_16_nn_16_ne_48_wd_32_opd_2_0,ni_16_nn_16_ne_48_wd_32_opd_2_0-spec-3,,0,1,"Verify that state S3 is a terminal state with no outgoing transitions - once the FSM enters S3, it remains in S3 indefinitely",partially_proven,1,0,2,3,1,6,39.412325382232666,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,7,,0,0
ni_16_nn_16_ne_48_wd_32_opd_3_0,ni_16_nn_16_ne_48_wd_32_opd_3_0-spec-1,,0,1,"Check that when reset_ is asserted (logic 0), the state register synchronously resets to S0 on the next positive clock edge",partially_proven,1,0,2,3,1,2,35.308069467544556,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,3,,0,0
ni_16_nn_16_ne_48_wd_32_opd_3_0,ni_16_nn_16_ne_48_wd_32_opd_3_0-spec-2,,0,1,"Verify that the state always transitions within the valid state encoding range S0 through S15 (4-bit values 0000 through 1111), never reaching undefined or unused states",partially_proven,1,0,1,2,1,4,47.32861399650574,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,5,,0,0
ni_16_nn_16_ne_48_wd_32_opd_3_0,ni_16_nn_16_ne_48_wd_32_opd_3_0-spec-3,,0,1,"Verify that state S13 has no outgoing transition (next_state is never assigned in state S13), which represents a potential deadlock state where the FSM will remain stuck",partially_proven,1,0,2,3,1,6,38.95328760147095,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,7,,0,0
ni_16_nn_16_ne_48_wd_32_opd_4_0,ni_16_nn_16_ne_48_wd_32_opd_4_0-spec-1,,0,1,"Check that when reset_ is low, state transitions to S0 in the next clock cycle",partially_proven,1,0,2,3,1,3,43.65084528923035,not_checked,,1.0,1.0,1.0,1,0,0,1,True,1,4,,0,0
ni_16_nn_16_ne_48_wd_32_opd_4_0,ni_16_nn_16_ne_48_wd_32_opd_4_0-spec-2,,0,1,Verify that state transitions always follow valid next_state values defined in the case statement for each state,partially_proven,3,0,3,6,1,6,48.358553647994995,not_checked,,1.0,1.0,1.0,3,0,0,3,True,1,7,,0,0
