id,rtl,type
ns_2-w_128-opd_2-0,"`define WIDTH 128
`define DEPTH 4

module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);  
    parameter WIDTH = `WIDTH;
    localparam DEPTH = 3;
    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output [WIDTH-1:0] out_data;
    output out_vld;

    
    logic [DEPTH:0] ready;
    logic [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    generate
        for (genvar i=0; i < DEPTH; i=i+1) begin : gen
            always @(posedge clk) begin
                if (!reset_) begin
                    ready[i+1] <= 'd0;
                    data[i+1] <= 'd0;
                end else begin
                    ready[i+1] <= ready[i];
                    data[i+1] <= ((data[i] & 8) ^ (data[i] - 9));
                end
            end
        end
    endgenerate
endmodule


module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data <<< 2) ^ 10) - 2);
        end
    end
endmodule


module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[3]), 
        .out_vld(ready[3])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[3]),
        .in_vld(ready[3]),
        .out_data(data[4]), 
        .out_vld(ready[4])
    );
endmodule",pipeline
ns_2-w_128-opd_2-1,"`define WIDTH 128
`define DEPTH 2

module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data >>> 1) + 2) ^ (in_data >>> 6));
        end
    end
endmodule

module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= ((in_data ^ 8) & 10);
        end
    end
endmodule


module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[1]), 
        .out_vld(ready[1])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[1]),
        .in_vld(ready[1]),
        .out_data(data[2]), 
        .out_vld(ready[2])
    );
endmodule",pipeline
ns_2-w_128-opd_2-2,"`define WIDTH 128
`define DEPTH 2

module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= ((in_data ^ 10) >>> ((in_data - 5) + 10));
        end
    end
endmodule

module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data | 2) + (in_data & 2)) - 3);
        end
    end
endmodule


module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[1]), 
        .out_vld(ready[1])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[1]),
        .in_vld(ready[1]),
        .out_data(data[2]), 
        .out_vld(ready[2])
    );
endmodule",pipeline
ns_2-w_128-opd_2-3,"`define WIDTH 128
`define DEPTH 2

module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data - 1) | (in_data + 4)) <<< (in_data - 6));
        end
    end
endmodule

module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data >>> 9) - (in_data >>> 9)) | ((in_data ^ 7) >>> (in_data | 8)));
        end
    end
endmodule


module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[1]), 
        .out_vld(ready[1])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[1]),
        .in_vld(ready[1]),
        .out_data(data[2]), 
        .out_vld(ready[2])
    );
endmodule",pipeline
ns_2-w_128-opd_2-4,"`define WIDTH 128
`define DEPTH 5

module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data | 10) <<< 1) - 3);
        end
    end
endmodule

module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);  
    parameter WIDTH = `WIDTH;
    localparam DEPTH = 4;
    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output [WIDTH-1:0] out_data;
    output out_vld;

    
    logic [DEPTH:0] ready;
    logic [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    generate
        for (genvar i=0; i < DEPTH; i=i+1) begin : gen
            always @(posedge clk) begin
                if (!reset_) begin
                    ready[i+1] <= 'd0;
                    data[i+1] <= 'd0;
                end else begin
                    ready[i+1] <= ready[i];
                    data[i+1] <= ((data[i] ^ 2) >>> ((data[i] | 2) <<< (data[i] + 1)));
                end
            end
        end
    endgenerate
endmodule



module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[4]), 
        .out_vld(ready[4])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[4]),
        .in_vld(ready[4]),
        .out_data(data[5]), 
        .out_vld(ready[5])
    );
endmodule",pipeline
ns_2-w_128-opd_2-5,"`define WIDTH 128
`define DEPTH 2

module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data <<< 3) - 4) <<< (in_data & 9));
        end
    end
endmodule

module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= ((in_data + 10) & (in_data | 4));
        end
    end
endmodule


module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[1]), 
        .out_vld(ready[1])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[1]),
        .in_vld(ready[1]),
        .out_data(data[2]), 
        .out_vld(ready[2])
    );
endmodule",pipeline
ns_2-w_128-opd_3-0,"`define WIDTH 128
`define DEPTH 2

module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= ((in_data | 5) ^ ((in_data <<< 1) <<< 1));
        end
    end
endmodule

module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data <<< 10) ^ ((in_data + 1) & (in_data <<< 6))) - 4);
        end
    end
endmodule


module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[1]), 
        .out_vld(ready[1])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[1]),
        .in_vld(ready[1]),
        .out_data(data[2]), 
        .out_vld(ready[2])
    );
endmodule",pipeline
ns_2-w_128-opd_3-1,"`define WIDTH 128
`define DEPTH 5

module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);  
    parameter WIDTH = `WIDTH;
    localparam DEPTH = 4;
    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output [WIDTH-1:0] out_data;
    output out_vld;

    
    logic [DEPTH:0] ready;
    logic [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    generate
        for (genvar i=0; i < DEPTH; i=i+1) begin : gen
            always @(posedge clk) begin
                if (!reset_) begin
                    ready[i+1] <= 'd0;
                    data[i+1] <= 'd0;
                end else begin
                    ready[i+1] <= ready[i];
                    data[i+1] <= ((data[i] >>> 7) >>> (((data[i] + 4) + 7) <<< 2));
                end
            end
        end
    endgenerate
endmodule


module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data - 8) ^ (in_data <<< 3)) >>> ((in_data + 8) | 9));
        end
    end
endmodule


module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[1]), 
        .out_vld(ready[1])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[1]),
        .in_vld(ready[1]),
        .out_data(data[5]), 
        .out_vld(ready[5])
    );
endmodule",pipeline
ns_2-w_128-opd_3-2,"`define WIDTH 128
`define DEPTH 2

module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= ((((in_data ^ 8) ^ (in_data | 7)) - (in_data ^ 3)) - 5);
        end
    end
endmodule

module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= (((in_data + 1) + 8) - ((in_data ^ 6) | 2));
        end
    end
endmodule


module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[1]), 
        .out_vld(ready[1])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[1]),
        .in_vld(ready[1]),
        .out_data(data[2]), 
        .out_vld(ready[2])
    );
endmodule",pipeline
ns_2-w_128-opd_3-3,"`define WIDTH 128
`define DEPTH 2

module exec_unit_0 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= ((in_data ^ 1) & 6);
        end
    end
endmodule

module exec_unit_1 (
    clk,
    reset_,
    in_data,
    in_vld,
    out_data,
    out_vld
);
    parameter WIDTH = `WIDTH;

    input clk;
    input reset_;
    input [WIDTH-1:0] in_data;
    input in_vld;
    output reg [WIDTH-1:0] out_data;
    output reg out_vld;

    always_ff @(posedge clk or negedge reset_) begin
        if (!reset_) begin
            out_vld <= 'd0;
            out_data <= 'd0;
        end else begin
            out_vld <= in_vld;
            out_data <= ((in_data | 9) - 3);
        end
    end
endmodule


module pipeline (
    clk,
    reset_,
    in_vld,
    in_data,
    out_vld,
    out_data
);
    parameter WIDTH=`WIDTH;
    parameter DEPTH=`DEPTH;
    
    input clk;
    input reset_;
    input in_vld;
    input [WIDTH-1:0] in_data;
    output out_vld;
    output [WIDTH-1:0] out_data;

    wire [DEPTH:0] ready;
    wire [DEPTH:0][WIDTH-1:0] data;
    assign ready[0] = in_vld;
    assign data[0] = in_data;
    assign out_vld = ready[DEPTH];
    assign out_data = data[DEPTH];

    exec_unit_0 #(.WIDTH(WIDTH)) unit_0 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[0]),
        .in_vld(ready[0]),
        .out_data(data[1]), 
        .out_vld(ready[1])
    );

    exec_unit_1 #(.WIDTH(WIDTH)) unit_1 (
        .clk(clk),
        .reset_(reset_),
        .in_data(data[1]),
        .in_vld(ready[1]),
        .out_data(data[2]), 
        .out_vld(ready[2])
    );
endmodule",pipeline
